price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color
12500,2008,ford,excellent,6 cylinders,gas,141345,clean,automatic,rwd,truck,grey
16950,2007,toyota,good,6 cylinders,gas,156792,clean,automatic,rwd,truck,white
22950,2014,ford,excellent,8 cylinders,gas,166380,clean,automatic,4wd,truck,black
12950,2011,honda,excellent,4 cylinders,gas,87994,clean,automatic,fwd,SUV,silver
12950,2007,mazda,excellent,4 cylinders,gas,90610,clean,automatic,rwd,convertible,black
13950,2011,mazda,excellent,4 cylinders,gas,138235,clean,automatic,rwd,convertible,red
19950,2009,porsche,excellent,6 cylinders,gas,80190,clean,automatic,rwd,convertible,red
13950,2008,mazda,excellent,4 cylinders,gas,86650,clean,manual,rwd,convertible,grey
10950,2009,lexus,excellent,6 cylinders,gas,191955,clean,automatic,4wd,SUV,white
13950,2006,lexus,good,8 cylinders,gas,178790,clean,automatic,4wd,SUV,
1800,1998,toyota,good,4 cylinders,gas,240537,clean,manual,,,green
21250,2002,ford,new,8 cylinders,gas,15996,clean,automatic,fwd,convertible,yellow
4500,2008,ford,,6 cylinders,gas,187016,clean,automatic,rwd,coupe,red
39590,2020,chevrolet,good,8 cylinders,gas,19160,clean,other,,pickup,red
26990,2017,nissan,good,8 cylinders,gas,41335,clean,other,4wd,pickup,red
4299,2007,nissan,,4 cylinders,gas,189321,clean,automatic,fwd,sedan,silver
0,2015,nissan,excellent,4 cylinders,gas,99505,clean,automatic,fwd,sedan,silver
3950,2008,kia,excellent,4 cylinders,gas,247377,clean,automatic,,sedan,
5900,1998,ford,excellent,8 cylinders,gas,214000,clean,automatic,,truck,red
33990,,,,6 cylinders,gas,48784,clean,automatic,fwd,SUV,black
34995,2012,dodge,,,gas,41000,clean,automatic,,,
3200,2005,ford,good,4 cylinders,gas,189886,clean,automatic,,,
3495,1999,ford,good,6 cylinders,gas,135448,clean,automatic,,,
6500,2002,ford,good,6 cylinders,gas,114775,clean,automatic,,,
16988,2008,toyota,,,gas,188099,clean,automatic,4wd,,
16988,2018,nissan,,,gas,57517,clean,automatic,fwd,,silver
26990,2018,nissan,,,gas,31814,clean,automatic,rwd,,black
32186,2021,toyota,,,gas,1443,clean,automatic,rwd,,
16477,2015,buick,,,gas,103969,clean,automatic,fwd,,black
58977,2019,gmc,,,gas,66368,clean,automatic,4wd,,white
30990,2016,chevrolet,good,6 cylinders,gas,58116,clean,other,,pickup,silver
6900,2009,honda,fair,,gas,198000,clean,automatic,4wd,,
3750,1997,ford,,,gas,150000,clean,automatic,,,
2500,1976,chevrolet,,,gas,100,clean,automatic,,,
3500,2003,toyota,good,4 cylinders,gas,237000,clean,automatic,,,
1300,1969,mercedes-benz,,,gas,12774,clean,automatic,,,
25990,2016,bmw,,6 cylinders,gas,75123,clean,automatic,,sedan,black
8000,2013,kia,excellent,4 cylinders,gas,119000,rebuilt,automatic,,,white
32000,2008,chevrolet,good,8 cylinders,diesel,109600,clean,automatic,4wd,truck,white
3399,2006,buick,,6 cylinders,gas,160218,clean,automatic,fwd,sedan,blue
4000,2002,toyota,excellent,4 cylinders,gas,155000,clean,automatic,fwd,sedan,blue
3900,2009,hyundai,,4 cylinders,gas,162005,clean,automatic,rwd,sedan,white
3000,2004,chevrolet,good,6 cylinders,gas,131500,clean,automatic,4wd,SUV,white
